entry_id,win_type(A|S|B1|B2|C),opponent_class(naive|scalar|factory-block-dot|factory-repack|e2e-factory),win_or_loss,alias_note(e.g. Win-S=historical-mislabel-Win-B),locked_wording(L-7),triage(missing_fact|missing_pattern|misselection|physical),objdump_evidence_ptr,named_new_fact_or_pattern_id,closure_status,retest_result_ptr,snapshot
q8_0-deferred-ordered-fold-P2c,B1,factory-block-dot,loss,P2c-deferred-1.69x-was-fp16-libcall-confound(see-GAP-1/P2c-A),"fair VLEN128 (clang-20, both sides zfh march, 0 libcall, IQR<0.02%): deferred 23% slower than factory (A/C=1.232), 7.5% slower than per-block (A/B=1.075); round-trip-elimination hypothesis FALSIFIED; vsetvli churn 19 vs 5 > round-trip saved; dual-board 256/256 bit-exact ULP0 (capability real, numerics correct)",physical,experiments/ondevice-q8_0-deferred/A_deferred.rv64gcv_zvfhmin.objdump + experiments/ondevice-q8_0-deferred/fair/perf_rvv_vlen128_FAIR.csv,MFLAT-P2c-deferred-ordered-fold(pattern-registry status=measured-negative),closed-measured-negative-layer4-no-campaign,experiments/ondevice-q8_0-deferred/fair/perf_rvv_vlen128_FAIR.csv,daab0ff1
q8_0-capability-keyed-fill,B1(cap-fill-mechanism;board-conditional;NOT-sealed-8-gate),factory-block-dot,board-conditional-win(VLEN256 +2.5% / VLEN128 loss),[SUPERSEDED-by-q8_0-item4-fcvt-reschedule: the +9.9% pure-fill-lever DISSOLVES -- item4 showed it was fcvt-tax hitting m2 heavier not fill-utilization; corrected real win = +4.37% reschedule/C-structure edge (dual-LMUL) NOT a fill lever] capability-fill win; first to clear preflight 4-gate + adversarial verify; KERNEL-only single-board; NOT sealed [PERF-1] 8-gate universal Win-B,"k1 VLEN256 +2.5% fair win (IQR 0.01%, non-overlapping dists, CI excludes 1.0, bit-exact ULP0, no-FMA). Decomp: +9.9% pure fill lever (ours-m1 vs ours-m2 isolated LMUL) - 8.3% emitter-sched residue (ours-m2 vs factory-m2 SAME LMUL, named-not-chased). Q1-c floor 325ns, factory 11.6x above -> parity-at-floor excluded. VLEN256 wins (m1 full-fill VLMAX_e8m1=32=1block), VLEN128 loses (m1 underfills half-block -> m2 -> emitter-gap side)",missing_pattern,T3_step3 objdump fold-isolation seals + this-session k1 VLEN256 fair board raw(pending-file),capability-keyed-fill(mechanism)+emitter-sched-residue(named emitter maturity gap),characterized-kernel-golf-stopped-authorized;emitter-gap-named-not-chased,session k1 VLEN256 fair board run(clang-20 zfh march; preflight 4-gate pass; raw pending-file; lineage k1 SpacemiT-X60 VLEN256),daab0ff1
q8_0-item4-fcvt-reschedule,B1(C-structure-lever;board-conditional;NOT-sealed-8-gate),factory-block-dot,board-conditional-win(k1/VLEN256 +4.37% / rvv/VLEN128 parity-no-tax),closes finale -8.3% emitter-sched tax; ★+11% m1-over-m2 fill DISSOLVES (was fcvt-tax on m2 heavier not fill-utilization; item4 m1=3621ns approx= m2=3617ns); real win = reschedule/C-structure edge dual-LMUL NOT fill-lever,"k1 VLEN256 our-m2 4096->3617ns = +4.37% vs factory (preflight 4/4 dual-board, confound-clean, paired, byte-exact 256/256 ULP0 vs §1 sep-left-assoc oracle, no-FMA). Mechanism = fp16-scale fcvt.s.h rescheduled from before integer-core to fold segment (like ggml factory), +80/-80 PURE statement reschedule, numerics IDENT. REAL machine change: objdump dual-board confirms fcvt.s.h truly moved (HEAD/B flh->fcvt.s.h->vwredsum->fmul early-issue; item4/A vwredsum->flh->fcvt.s.h->fmul late-issue); clang -O2 does NOT flatten (contrast 2a vsetvli machine-neutral). rvv/VLEN128 has no tax -> item4 neutral parity. [PERF-1] 8-gate walk: ①byte-exact PASS ②VLEN-flip dual-board PASS ③objdump dual-board seal PASS ④micro AND e2e = KERNEL-MICRO-ONLY (phase=micro; e2e pending, likely washes per kernel-wins-dont-transplant) ⑤dual-board PASS ⑥discipline(preflight/freq-lock/median/T-N) PASS ⑦mechanism-attribution(objdump fcvt真移) PASS ⑧wording(bound k1/VLEN256/clang-18/micro-phase) PASS = 7/8 with ④ micro-only. NOT sealed universal Win-B (④ e2e + full VLEN-flip lit pending)",missing_pattern(emitter-sched tax -- CLOSED by item4),commit e7449feb objdump dual-board fcvt.s.h reschedule (board raw in commit msg + gap-log GAP-1/q8_0-item4) + experiments/ondevice-q8_0-mbf/seal/fold_segment_objdump.txt,item4-fcvt-placement-C-structure-lever(machine-gen-C structural lever clang-respected = the instruction-golf sanity-EXCEPTION),emitter-sched-tax-CLOSED;C-structure-lever-win;instruction-golf-sanity-EXCEPTION(item4-grade dual-evidence: C-structure lever + clang-respected objdump-real-move),commit e7449feb + gap-log GAP-1/q8_0-item4,8e30ea2d
q5_K-2c-deferred-reduce-vs-aux8-roundtrip,B1(board-split;NOT-sealed-8-gate),factory-block-dot,board-split(k1/VLEN256 +2.7~4.8% win / rvv/VLEN128 -15~17.5% loss),2c q5_K superseding measurement (workflow wodc5u06c); ★MORE faithful to ggml scalar GENERIC oracle than ggml's own factory riscv kernel (ours 256/256 ULP0 vs factory 55/256 worst-ULP-130 coarse-fold); opponent = softest K-quant (plain intrinsics objdump no vlNNN),"k1/VLEN256 ours 6247.9ns vs factory 6418.7ns = +2.73% median (gap-log range +2.7~4.8%) WIN; rvv/VLEN128 ours 1914.6ns vs factory 1629.4ns = ours 17.5% slower LOSS. bit-exact dual-board 256/256 ULP0 vs GENERIC q5_K oracle (★ours MORE faithful than factory 55/256 worst-ULP-130). Mechanism (objdump dual-board): win-lever = deferred-reduce (ours vredsum 0 vs factory 9); headwind = aux8[256] scratch round-trip (ours vse8 8 vs factory register-resident 0). Sign flips with uarch: k1 weak-core + wide-vredsum -> deferred-save > aux8 -> win; rvv fast-core -> aux8 8-store+256B-readback > save -> loss. [PERF-1] 8-gate walk: ①byte-exact PASS(more-faithful) ②VLEN-flip dual-board PASS ③objdump dual-board seal PASS ④micro AND e2e = KERNEL-MICRO-ONLY ⑤dual-board PASS(board-SPLIT) ⑥discipline PASS(preflight 4/4) ⑦mechanism-attribution(deferred-reduce vredsum 0 vs 9) PASS ⑧wording(board-split bound k1/VLEN256/clang-18/micro-phase) PASS. NOT sealed universal Win-B (board-SPLIT not universal; ④ micro-only)",missing_pattern(aux8 round-trip -- ★2c triage MISDIAGNOSED aux8 as bottleneck; P3 revealed decode-width is the real cost),experiments/ondevice-q5_K/k1_ab_raw.txt + rvv_ab_raw.txt (objdump seals + AB) + gap-log GAP-1/q5_K-aux8-roundtrip,deferred-reduce-vredsum-0-vs-9(win-lever) + decode-width-downgrade(real headwind per P3 correction NOT aux8),board-split-banked(bit-exact + faithfulness + bottleneck-located);P3-register-resident-narrow FALSIFIED(2.2x regression decode-width not aux8);wide-decode-salvage=deferred-backlog(pattern-registry),gap-log GAP-1/q5_K-P3-register-resident FALSIFIED + pattern-registry wide-decode-register-resident-salvage(deferred-backlog),8e30ea2d
q4_0-gevm-k1-vlen256-decode-P1-roofline-GAP,B1(board-conditional;NOT-sealed-8-gate),e2e-factory,loss(board-conditional: k1/VLEN256 ours 0.854x slower),"P1 UNPARKED — the parked k1/VLEN256 decode 0.857x reversal RESOLVED by fresh roofline as a REAL GAP (真差), NOT a confound and NOT parity-at-floor","k1/VLEN256 fresh paired N=10 (freq 1.6GHz 0.00% span, cores 0-3/4thr, IQR 0.13%): ours 5.67 t/s vs stock 6.64 t/s = 0.854x DIFFERENCE CI[0.8533,0.8552]. Fresh k1 roofline: read wall 4.260 GB/s (4-core aggregate), ridge 12 op/byte => q4_0 GEVM decode (~1-2 op/byte) BANDWIDTH-BOUND. Achievement (bytes/token 0.582 structural): ours 3.30 GB/s = 78% of wall (UNDER) / stock 3.86 GB/s = 91% of wall (AT wall). Three-tier => GAP (我方未吃满、对手吃满); parity-at-floor物理满分 EXCLUDED (needs BOTH>=85%); confound EXCLUDED (freq-locked, paired same-session, CI excl 1.0). Mechanism: our repack GEVM is VLEN128-tuned (mf2) -> under-streams at VLEN256; the exact VLEN-flip MIRROR of the sealed rvv/VLEN128 result (ours saturates ~100% -> decode WIN 1.91x). Companion same-run prefill = 1.0022x PARITY (compute-bound).",misselection(SELECTION-ERROR reclassified-2026-07-07-裁决一.3 FROM missing_pattern; root-cause = the capability selector keys ONLY isRVV0p7 GENERATION not the VLEN128-vs-256 capability fact; so at VLEN256/RVV1.0 it auto-picks the VLEN128-tuned mf2 repack layout which under-streams DRAM; a VLEN256-appropriate wider-LMUL streaming variant is UNREACHABLE because the key is generation-only => the winning variant EXISTS-but-NOT-SELECTED not a missing pattern; roofline under-saturation is the SYMPTOM the selection blindness is the CAUSE),experiments/active/p1-k1-vlen256-decode-roofline/bandwidth_analysis.txt + experiments/active/roofline/roofline.csv,vlen256-repack-gevm-under-saturation(mirror of vlen128-repack-saturation-win) + selector-key-missing-VLEN-fact(keys-isRVV0p7-generation-only)=capability-keyed-selection-TEXTBOOK-case,characterized-roofline-resolved-real-GAP;RECLASSIFIED-2026-07-07-裁决一.3 missing_pattern->misselection(selection-error);UPGRADE-PRESERVED as capability-keyed-selection textbook case (fix = add the VLEN fact to the selector key; ★2026-07-07 裁决二.1 tested the widen-to-whole-LMUL/m1 DIRECTION and FALSIFIED it: 2.72x REGRESSION on the reachable prefill GEMM + 11% slower q8_0 GEVM [see rows q4_0-gemm-k1-vlen256-GAP-P1-fix-confirm-REGRESSION + q8_0-gevm-k1-vlen256-mf2-vs-m1-do-not-widen-VINDICATED]; the q8_0 3-way indicates the correct VLEN256 variant is a mf2 WIDE-STRIP half_lanes16 read-wall 40.4% vs narrow 29.8% NOT whole-LMUL m1 36.4%; this DECODE GEVM cell itself not yet re-measured with the wide-strip variant -> add-VLEN-fact-to-key still valid but must target the wide-STRIP not the m1 rung);P1-unparked-as-real-difference-not-confound,experiments/active/p1-k1-vlen256-decode-roofline/evidence.json,d1a26e4a
q4_0-gemm-k1-vlen256-prefill-parity,B1(board-conditional),e2e-factory,parity(k1/VLEN256 ours 1.0022x),GEMM wide-board control — prefill parity per VLEN-flip as expected (compute-bound),"k1/VLEN256 fresh paired N=10: ours 24.69 t/s vs stock 24.63 t/s = 1.0022x CI[1.0014,1.0030] VERDICT PARITY (|delta|0.22% < 2x-eff-floor 0.24%). pp128 (M=128) weight-reuse => arithmetic intensity >> ridge 12 => COMPUTE-BOUND; both sides at similar compute efficiency => parity, the expected outcome per VLEN-flip. Recorded as a result (parity is a result, not a beat).",physical(compute-bound; parity expected),experiments/active/p1-k1-vlen256-decode-roofline/evidence.json,vlen-flip-prefill-parity(compute-bound-control),recorded-parity-control,experiments/active/p1-k1-vlen256-decode-roofline/aggregate.txt,d1a26e4a
format-micro-iq3_s-q8k-block-dot-batch2c,B1,factory-block-dot,loss,batch2c-symmetric-fair(gcc-15.2.0 -O3 both sides; byte-identical march); SUPERSEDES batch2b-INVALID(compiler-asymmetry-artifact),iq3_s LOSS 0.2804x (ours 3.57x slower; compute-bound 4%-of-read): missing_pattern -- ours emits 156 vsetvli / 33 vluxei-gather / 32 per-subblock vwredsum / 63 AVL=2 ops / 7 whole-reg-spill vs factory vl128 12 vsetvli / 1 gather; sign(qh)+grid decode is per-sub-block not batched over the super-block. fair gcc-15.2.0 -O3 both sides,missing_pattern,experiments/active/format-micro-rvv-vlen128/gap_triage_batch2c/disasm/iq3_s.ours.objdump.txt + experiments/active/format-micro-rvv-vlen128/gap_triage_batch2c/disasm/iq3_s.factory_vl128.objdump.txt + experiments/active/format-micro-rvv-vlen128/gap_triage_batch2c/objdump_gap_triage.txt,emit-pattern/per-subblock-gather-redsum-not-batched,characterized-missing_pattern;construction-queue-emitter-maturity-target;NOT-physical,experiments/active/format-micro-rvv-vlen128/perf_result_batch2c_symmetric.txt,ffcfcf80(batch2c-2026-07-07)
format-micro-iq2_s-q8k-block-dot-batch2c,B1,factory-block-dot,loss,batch2c-symmetric-fair(gcc-15.2.0 -O3 both sides; byte-identical march); SUPERSEDES batch2b-INVALID(compiler-asymmetry-artifact),iq2_s LOSS 0.4772x (2.10x slower; 16%-of-read): missing_pattern -- ours 75 vsetvli / 32 vluxei-gather / 19 AVL=2 vs factory 16 vsetvli / 1 gather; per-sub-block sign-grid gather x32 not batched,missing_pattern,experiments/active/format-micro-rvv-vlen128/gap_triage_batch2c/disasm/iq2_s.ours.objdump.txt + experiments/active/format-micro-rvv-vlen128/gap_triage_batch2c/disasm/iq2_s.factory_vl128.objdump.txt + experiments/active/format-micro-rvv-vlen128/gap_triage_batch2c/objdump_gap_triage.txt,emit-pattern/per-subblock-sign-grid-gather-not-batched,characterized-missing_pattern;construction-queue-emitter-maturity-target;NOT-physical,experiments/active/format-micro-rvv-vlen128/perf_result_batch2c_symmetric.txt,ffcfcf80(batch2c-2026-07-07)
format-micro-iq2_xs-q8k-block-dot-batch2c,B1,factory-block-dot,loss,batch2c-symmetric-fair(gcc-15.2.0 -O3 both sides; byte-identical march); SUPERSEDES batch2b-INVALID(compiler-asymmetry-artifact),iq2_xs LOSS 0.3293x (3.04x slower; 8%-of-read): missing_pattern -- ours 92 vsetvli / 32 vluxei-gather / 22 AVL=2 / 5 whole-reg-spill vs factory 23 vsetvli / 8 gather; per-sub-block gather + vsetvli churn not batched,missing_pattern,experiments/active/format-micro-rvv-vlen128/gap_triage_batch2c/disasm/iq2_xs.ours.objdump.txt + experiments/active/format-micro-rvv-vlen128/gap_triage_batch2c/disasm/iq2_xs.factory_vl128.objdump.txt + experiments/active/format-micro-rvv-vlen128/gap_triage_batch2c/objdump_gap_triage.txt,emit-pattern/per-subblock-gather-not-batched,characterized-missing_pattern;construction-queue-emitter-maturity-target;NOT-physical,experiments/active/format-micro-rvv-vlen128/perf_result_batch2c_symmetric.txt,ffcfcf80(batch2c-2026-07-07)
format-micro-iq2_xxs-q8k-block-dot-batch2c,B1,factory-block-dot,loss,batch2c-symmetric-fair(gcc-15.2.0 -O3 both sides; byte-identical march); SUPERSEDES batch2b-INVALID(compiler-asymmetry-artifact),iq2_xxs LOSS 0.7796x (1.28x slower MILDEST; 7%-of-read): missing_pattern -- ours 50 vsetvli / 16 vluxei-gather / 0 AVL=2 vs factory 16 vsetvli / 4 gather; only gather-count + vsetvli-count gap remains (no 2-elem scalarization) -> mildest cell; gap magnitude tracks AVL=2 count across family. sealed bit-exact,missing_pattern,experiments/active/format-micro-rvv-vlen128/gap_triage_batch2c/disasm/iq2_xxs.ours.objdump.txt + experiments/active/format-micro-rvv-vlen128/gap_triage_batch2c/disasm/iq2_xxs.factory_vl128.objdump.txt + experiments/active/format-micro-rvv-vlen128/gap_triage_batch2c/objdump_gap_triage.txt,emit-pattern/gather-count+vsetvli-churn-no-2elem,characterized-missing_pattern;construction-queue-emitter-maturity-target;NOT-physical;correctness-sealed,experiments/active/format-micro-rvv-vlen128/perf_result_batch2c_symmetric.txt,ffcfcf80(batch2c-2026-07-07)
