# ============================================================================
# [STALE / CONTAMINATED — 2026-07-05,P2c 证伪后置顶标注;原数据行下方保留不删]
# 本表 step-3 parity 数(VLEN128 我方 m2 = micro_vs_factory 1.019×)及其归因
# 分解 = CONTAMINATED,【幅度不可引用】。理由:step-3 双板 march 均无 zfh → 双方
# fp16 均走 __extendhfsf2 libcall → 同一大软浮点常数把比值压向 1(factory 光去
# libcall 1793→881 = 半个运行时)。方向性 parity 仅保留为【定性】结论。须按新
# 工具链政策(clang-20 + 板全能力 march;实验总纲v1 §1 第9/10条)重测(Phase 1)。
# 状态字段已从 measured → stale(实验宪法第 1 条:指纹变则同指纹格自动 stale)。
# ============================================================================
measurement_row_key(op|format|path|arity|shape_class),variant_id,selection_mode(mechanism|forced),six_state,provenance_ptr,correctness_gate(byte-exact|ULP),capability_shape(lmul/vlen),objdump_sealed,winA_narrow,winA_wide,winA_ratio,candidate_set_hash_equal,opponent_ref(probe_artifact),opponent_class(factory|algmatched|naive|scalar),micro_vs_factory,micro_vs_algmatched,micro_vs_scalar_naive,roofline_class,transduction_time_pct,transduction_amdahl_pred,transduction_measured,transduction_efficiency,capkey_ablation(blocked_by_SEL),status,board_fp,session,artifact,snapshot
q8_0|q8_0|typed-flat|arity2|micro-fixed,m2,mechanism,constructed-strong,frontdoor=materialize-q8-0-q8-0-block-dot-source-front-door(march=rv64gcv);emitc=experiments/T3_step3/kernel_m2.emitc.mlir,byte-exact(256/256;worstULP=0;vs-pinned-sep-leftassoc-oracle),lmul=m2/vlen=128,yes(i8m2;vwmul-i16m4;vwredsum-i16m4;fmul+fmul+fadd-no-FMA;rvv_ab_raw.txt),open(winA-not-run-on-rvv;m2-fill-optimal@128;m1-would-underfill-halfblock),open,open,open(dual-board-hash-tool-pending),experiments/T3_step3/kernel_factory.c(faithful-NONpacked;quants.c:435-472-verbatim),factory,1.019x(factory/our=3506.0/3441.0;+1.9%;CI1.0187-1.0190;PARITY-same-i8m2-struct),n_a(factory==algmatched-for-q8_0),open,latency-bound(cache-resident-200k-reuse;per-block-vwredsum->vmv.x.s->scalar-fold-serial-chain;NOT-DRAM-bw),open,open,open,open,open(blocked_by_SEL),stale,7040412c20700942(rvv-openEuler24.03-VLEN128-64c-clang17.0.6-glibc2.38-gov=perf-2.6GHz),2026-07-04-T3-step3,experiments/T3_step3/rvv_ab_raw.txt,fc1dd132
# [POST-FIX confound-clean rows — 2026-07-05: item4 fcvt-reschedule (commit e7449feb) + 2c q5_K (workflow wodc5u06c). preflight 4/4 (march-complete/libcall-free/same-compiler/fp-match), zfh march, 0 __extendhfsf2 fp16-libcall confound. board+clang-bound (clang-18 k1 / clang-17 rvv; boards lack clang-20). phase = KERNEL-micro-only (e2e pending, likely washes). These are DISTINCT from the STALE step-3 rows above (which were contaminated by the fp16-libcall confound).]
q8_0|q8_0|typed-flat|arity2|micro-fixed,m2-item4,mechanism,constructed-strong,item4 fcvt-reschedule (commit e7449feb); +80/-80 pure statement reschedule; emitc=typed-flat-block-dot-loop-body item4 variant,byte-exact(256/256;worstULP=0;vs-pinned-§1-sep-leftassoc-oracle),lmul=m2/vlen=128,yes(dual-board;fp16-scale fcvt.s.h moved from before integer-core to fold segment like factory;clang -O2 does NOT flatten (contrast 2a vsetvli machine-neutral);0 __extendhfsf2 libcall;0 FMA),n_a,n_a,n_a(item4=reschedule not fill;+11% m1-over-m2 fill DISSOLVED->fcvt-tax-artifact;m1=3621approx=m2=3617),open,ggml factory q8_0 vec_dot (faithful non-packed; quants.c),factory,parity(rvv/VLEN128 has NO emitter-sched tax;item4 neutral;HEAD already tax-free here),n_a(factory==algmatched),open,latency-bound(cache-resident;per-block serial reduce->vmv.x.s->scalar-fold chain),open,open,open,open,open(blocked_by_SEL),measured-confound-clean(preflight 4/4;board+clang-bound clang-18/17 NOT clang-20;phase=micro-only),rvv-openEuler-VLEN128-64c-clang17.0.6-zfh-march-gov=perf-2.6GHz(item4-session),2026-07-05-item4-fcvt-reschedule,commit e7449feb (board raw in commit msg) + gap-log GAP-1/q8_0-item4 + experiments/ondevice-q8_0-mbf/seal/fold_segment_objdump.txt,8e30ea2d
q5_K|q5_K|typed-super-block|arity2|micro-fixed,q5_K-e8m2,mechanism,constructed-strong,q5_K first-translate (commit 386d3d4d); emitc=experiments/ondevice-q5_K/kernel_ours.emitc.mlir; frontdoor=q5_K_q8_K block_dot,byte-exact(256/256;worstULP=0;vs-GENERIC-q5_K-oracle;★ours MORE-faithful-than-factory-55/256-worstULP130-coarse-fold),lmul=m2/vlen=128,yes(dual-board;win-lever=deferred-reduce vredsum 0 vs factory 9;headwind=aux8[256] scratch vse8 8 vs factory register-resident 0;0 __extendhfsf2 libcall;opponent=softest K-quant plain intrinsics no vlNNN),n_a,n_a,n_a(q5_K has no LMUL knob;both sides underfill VLEN256),open,experiments/ondevice-q5_K/kernel_factory.c (ggml factory q5_K_q8_K vec_dot; plain intrinsics),factory,0.851x(factory/our=1629.4/1914.6;ours 17.5% SLOWER;LOSS;fast-core: aux8 8-store+256B-readback > deferred-save),n_a(factory==algmatched),open,latency-bound(cache-resident;decode + per-block fold;uarch-sensitive sign flip),open,open,open,open,open(blocked_by_SEL),measured-confound-clean(preflight 4/4;board+clang-bound clang-18/17 NOT clang-20;phase=micro-only),rvv-openEuler-VLEN128-64c-clang17.0.6-glibc2.38-zfh-march-gov=perf-2.6GHz,2026-07-05-2c-q5_K(workflow wodc5u06c),experiments/ondevice-q5_K/rvv_ab_raw.txt + gap-log GAP-1/q5_K-aux8-roundtrip + GAP-1/q5_K-P3-register-resident FALSIFIED,8e30ea2d
# ===== 2026-07-07 lineA-batch1 (HEAD anchor d1a26e4a) — ROOFLINE RE-ANCHOR (rvv/VLEN128). No fresh e2e run this batch; the fresh roofline re-confirms the SEALED rvv q4_0 decode win. =====
# rvv roofline (cores 8-11, clang-17, march rv64gcv): read_single 4.996 / read_agg4c 5.237 GB/s ; int8_peak 41.535 GMACs = 83.071 GOPS ; ridge 15.86 op/byte. read_agg4c 5.237 CROSS-CHECKS the sealed gemm cell's 5.23 GB/s (board-stable ceiling). See experiments/active/roofline/.
# Re-anchored sealed rvv q4_0 e2e (T-N noise-floor rows, HEAD 5c010b2b): decode ours 9.12 t/s -> 9.12*0.582=5.31 GB/s = ~100% of the 5.237 GB/s wall (SATURATED) ; stock 4.72 t/s -> 2.75 GB/s = ~53% of wall (UNDER). => VLEN128 decode WIN 1.91x is BANDWIDTH-BOUND with OURS at the wall / stock under -- the exact VLEN-flip MIRROR of the k1/VLEN256 GAP (there stock at wall, ours under). roofline_class=bandwidth-bound; judgment unchanged, now physically anchored to a fresh same-board ceiling.
# ===== 2026-07-07 lineA-batch2 (pinned HEAD 49ede67d) — rvv/VLEN128 FORMAT MICRO (step4/5): EXPORT DONE + OPPONENT DONE / PAIRED-PERF STALE(export-march-confound). =====
# EXPORT: 8 constructed super-block formats {iq3_s,iq2_s,iq2_xs,iq2_xxs,iq3_xxs,iq4_xs (6 IQ) + tq2_0,tq1_0 (2 TQ TriLM ternary)} EXPORTED at pinned HEAD 49ede67d (cached detached-worktree tcrv-opt/translate; NO main-tree mutation, NO git stash) to valid UCB RISC-V relocatable objects, each carrying its constructed kernel symbol tcrv_emitc_ggml_vec_dot_<fmt>_q8_K_kernel_rvv_<fmt>_q8_K_block_dot (export_provenance.txt). The 2 TQ front-doors were added in d1a26e4a..49ede67d and export cleanly; 6 IQ objects byte-size-match batch#1 (codegen stable across the anchor bump).
# OPPONENT (batch#1 anti-fabrication blocker — NOW CLOSED): the real ggml factory ggml_vec_dot_<fmt>_q8_K for all 8 fmts was LOCATED + assembled from ggml's OWN build (build-vericurve, gcc-12.3.1 -O3 -march=rv64gcv_zfh_zvfh_zicbop_zihintpause; arch/riscv/quants.c.o [vectorized dispatched] + generic quants.c.o for the *_generic fallbacks; ld -r merged, 8/8 DEFINED-T, fp16-libcall-free). NB: the opponent.sh source-recompile path FAILS on this board (clang-17 lacks the tuple intrinsic __riscv_vcreate_v_i8m1_i8m2 that arch/riscv/quants.c needs; gcc-12.3.1 has it) — so the faithful opponent is ggml's own prebuilt object, NOT hand-filled. Opponent gate satisfied.
